"id";"location";"hotel_image";"hotel_name";"price";"hotel_type"
91;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/37/63/3763558.jpeg";"Green Apple Residence";1335;"Hotel"
92;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/98/4898384_v1.jpeg";"Glen Park Inn";1504;"Hotel"
93;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/37/56/3756832_v1.jpeg";"La Flora Amberley Resort";1545;"Hotel"
94;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/78/97/7897974_v2.jpeg";"FabEscape St. Clouds Pudumund";3150;"Hotel"
95;"ooty";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/15/1515269_v1.jpeg";"Hotel Ponmari Residency";2674;"Hotel"
96;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/18/94/1894675_v1.jpeg";"Hotel Heevan";10545;"Hotel"
97;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/70/54/7054680.jpeg";"Pine Palace Resort";2704;"Hotel"
98;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/28/74/2874212_v2.jpeg";"Fresh Water Resort";6555;"Hotel"
99;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/46/93/4693134_v2.jpeg";"Angels Inn Guest House";1915;"Hotel"
100;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/49/48/4948838.jpeg";"Golden Residency";3078;"Hotel"
101;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/71/84/7184294.jpeg";"Snow View";1791;"Hotel"
102;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/46/06/4606164.jpeg";"Himalaya Discover Resorts";2520;"Hotel"
103;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/48/87/4887344.jpeg";"Indian Palace";1571;"Resort"
104;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/47/96/4796684.jpeg";"Water View";1685;"Hotel"
105;"pahalgam";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/63/4563416_v1.jpeg";"Qazi Cottages";2484;"Hotel"
106;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/24/53/24533154.jpeg";"Treebo Trend Hotel Dev";1506;"Hotel"
107;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/46/73/4673448_v2.jpeg";"Treebo Trend Hotel Shambhala";1931;"Hotel"
108;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/19/1019395_v2.jpeg";"Manuallaya - the Resortspa in the Himalayas";9558;"Hotel"
109;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/34/36/343656_v10.jpeg";"Apple Country";3527;"Hotel"
110;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/38/09/3809880_v6.jpeg";"The Whitestone Resorts";3283;"Resort"
111;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/34/40/344046_v8.jpeg";"Renest River Country Resort, Manali";4872;"Hotel"
112;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/49/85/4985968_v9.jpeg";"Hotel Mountain Face by Snow City Hotels";1579;"Hotel"
113;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/21/12/2112222_v1.jpeg";"Sterling Manali";4334;"Hotel"
114;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/34/38/343896_v7.jpeg";"Hotel Snowcrests Manor";4368;"Hotel"
115;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/81/1181022_v6.jpeg";"Snow Valley Resorts";3790;"Hotel"
116;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/11/29/1129937_v7.jpeg";"Shingar Regency";2572;"Hotel"
117;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/40/40/4040154_v2.jpeg";"La Ri Sa Resort";10620;"Resort"
118;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/44/99/4499308_v1.jpeg";"Thomas Villa";1646;"Hotel"
119;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/43/87/4387236.jpeg";"The Anantmaya Resort";10266;"Hotel"
120;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/38/94/3894398_v1.jpeg";"WelcomHeritage Urvashi's Retreat";8074;"Hotel"
121;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/10/1310003_v2.jpeg";"Honeymoon Inn Manali";3248;"Hotel"
122;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/23/1423879.jpeg";"Mohan Palace";1145;"Hotel"
123;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/06/1306675_v1.jpeg";"Hotel Mountain Top";721;"Hotel"
124;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/12/43/1243804_v6.jpeg";"Royal Park Resort";1567;"Hotel"
125;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/28/37/28377842.jpeg";"Sita Cottage Hotel And Restaurant";896;"Hotel"
126;"manali";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/95/1395013_v2.jpeg";"Holiday Resorts & Cottages";2744;"Hotel"
